City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,puerto leguizamo,-0.1934,-74.7819,24.8,75,52,0.04,CO,1724025397
188,decatur,39.8403,-88.9548,26.03,65,100,4.63,US,1724025163
189,aleksin,54.51,37.08,17.18,85,1,0.69,RU,1724025400
190,bayanhongor,46.7167,100.1167,13.5,56,0,1.19,MN,1724025402
191,longyearbyen,78.2186,15.6401,12.91,67,0,4.63,SJ,1724025403
192,soio,-6.1349,12.3689,20.84,92,52,2.83,AO,1724025404
193,acapulco de juarez,16.8634,-99.8901,27.06,75,33,2.74,MX,1724025234
194,springbok,-29.6643,17.8865,11.36,27,0,2.24,ZA,1724025406
195,cordeiro,-22.0286,-42.3608,18.05,53,0,1.88,BR,1724025407
196,liberia,6.5,-9.5,21.77,98,72,1.1,LR,1724025409
197,cove,7.221,2.3402,23.95,80,99,1.93,BJ,1724025410
198,urzhar,47.093,81.6294,16.66,82,100,1.91,KZ,1724025411
199,sinabang,2.4803,96.3801,24.38,97,100,5.39,ID,1724025413
200,salekhard,66.53,66.6019,10.01,92,100,0.98,RU,1724025414
201,debrzno,53.5382,17.2364,17.35,98,67,4.43,PL,1724025416
202,ermua,43.1833,-2.5,16.3,85,73,0.42,ES,1724025417
203,ola,59.5833,151.2833,13.84,63,71,1.13,RU,1724025418
204,oroqen zizhiqi,50.5667,123.7167,18.22,43,100,1.88,CN,1724025419
205,kertih,4.5141,103.4483,24.01,94,40,0.0,MY,1724025420
206,curillo,1.0333,-75.9191,26.58,68,42,0.36,CO,1724025422
207,yuzhno-kurilsk,44.0306,145.8556,19.79,78,53,0.29,RU,1724025423
208,fort st. john,56.2499,-120.8529,22.94,38,75,2.57,CA,1724025235
209,hammerfest,70.6634,23.6821,17.25,55,75,5.14,NO,1724025425
210,thunder bay,48.4001,-89.3168,23.99,50,20,1.03,CA,1724025428
211,cody,44.5263,-109.0565,31.22,27,75,2.57,US,1724025429
212,vilyuchinsk,52.9306,158.4028,9.15,87,100,2.62,RU,1724025430
213,meadow lake,34.8014,-106.5436,35.92,16,11,6.57,US,1724025431
214,new norfolk,-42.7826,147.0587,10.51,61,10,0.75,AU,1724025432
215,iskateley,67.6803,53.1512,5.17,94,100,2.73,RU,1724025433
216,jamestown,42.097,-79.2353,22.23,80,100,5.14,US,1724025366
217,wailua homesteads,22.0669,-159.378,27.64,76,100,5.66,US,1724025436
218,mlowo,-9.0,32.9833,12.0,83,2,1.96,TZ,1724025437
219,nuku'alofa,-21.1333,-175.2,25.19,88,40,6.69,TO,1724025438
220,vila franca do campo,37.7167,-25.4333,22.23,81,92,0.47,PT,1724025439
221,rodino,52.5,80.25,15.47,67,86,5.26,RU,1724025440
222,puerto baquerizo moreno,-0.9,-89.6,19.7,80,66,6.3,EC,1724025442
223,bardai,11.65,7.2333,21.64,94,98,3.33,NG,1724025444
224,la passe,45.5549,-0.8967,15.94,81,0,3.48,FR,1724025445
225,smithers,54.7804,-127.1743,29.18,18,40,3.09,CA,1724025446
226,okahao,-17.885,15.0667,17.33,18,8,3.54,NA,1724025447
227,kharkiv,50.0,36.25,20.85,27,26,1.53,UA,1724025449
228,kamaishi,39.2667,141.8833,25.57,76,0,1.49,JP,1724025450
229,stanley,54.868,-1.6985,12.01,85,40,1.03,GB,1724025451
230,port elizabeth,-33.918,25.5701,15.17,87,40,1.54,ZA,1724025453
231,qoryooley,1.7878,44.53,23.45,83,98,6.64,SO,1724025454
232,lompoc,34.6391,-120.4579,22.23,70,0,4.63,US,1724025456
233,kupang,-10.1667,123.5833,26.32,78,20,2.57,ID,1724025457
234,vila velha,-20.3297,-40.2925,22.19,88,0,5.14,BR,1724025332
235,berezovyy,51.6667,135.7,20.05,47,2,0.69,RU,1724025459
236,port saint john's,-31.6229,29.5448,15.52,85,0,1.59,ZA,1724025460
237,nova sintra,14.8667,-24.7167,27.08,83,65,4.62,CV,1724025461
238,east london,-33.0153,27.9116,17.3,78,65,2.72,ZA,1724025463
239,happy valley-goose bay,53.3168,-60.3315,20.17,88,100,4.12,CA,1724025464
240,zahedan,29.4963,60.8629,24.95,31,41,0.0,IR,1724025465
241,duba,27.3513,35.6901,31.35,46,10,1.87,SA,1724025466
242,hirara,24.8,125.2833,28.15,94,75,10.29,JP,1724025467
243,sorong,-0.8833,131.25,26.0,87,98,4.99,ID,1724025468
244,zheleznodorozhnyy,55.7503,38.0042,17.83,81,8,1.26,RU,1724025470
245,konarka,19.9,86.1167,28.54,81,100,3.99,IN,1724025471
246,corner brook,48.9667,-57.9484,16.55,87,87,2.14,CA,1724025287
247,asau,46.4333,26.4,17.72,72,21,2.41,RO,1724025473
248,nieuw amsterdam,5.8833,-55.0833,29.01,70,20,2.57,SR,1724025474
249,paraparaumu,-40.9167,175.0167,10.53,76,97,7.56,NZ,1724025475
250,kiama,-34.6833,150.8667,17.36,59,28,2.0,AU,1724025477
251,chillupar,26.2822,83.5083,27.55,81,78,1.23,IN,1724025478
252,tera,14.0078,0.7531,28.6,70,100,3.25,NE,1724025479
253,ushtobe,45.2514,77.9838,16.44,75,36,2.7,KZ,1724025480
254,ust-nera,64.5667,143.2,15.53,43,100,1.55,RU,1724025481
255,susuman,62.7833,148.1667,12.86,54,58,0.87,RU,1724025482
256,payyannur,12.1,75.2,25.19,95,98,1.11,IN,1724025484
257,sinop,41.7711,34.8709,18.43,74,0,2.29,TR,1724025485
258,uturoa,-16.7333,-151.4333,25.23,78,91,12.24,PF,1724025486
259,san antonio,29.4241,-98.4936,38.29,39,0,5.14,US,1724024958
260,okhotsk,59.3833,143.3,17.19,60,61,2.82,RU,1724025488
261,san andres,12.5847,-81.7006,31.01,74,20,4.63,CO,1724025489
262,bonthe,7.5264,-12.505,24.42,90,34,2.38,SL,1724025491
263,castillos,-34.1667,-53.8333,12.94,98,100,3.76,UY,1724025492
264,castro,-24.7911,-50.0119,18.46,37,0,1.59,BR,1724025493
265,taulaga,-11.0553,-171.0883,27.45,83,2,9.18,AS,1724025494
266,chibougamau,49.9168,-74.3659,14.79,100,100,2.57,CA,1724025495
267,jindabyne,-36.4167,148.6333,9.76,69,0,0.89,AU,1724025496
268,colonia,50.9333,6.95,18.87,80,100,2.86,DE,1724025498
